District,Male,Female
Achham,54.1,16.0
Arghakhanchi,67.2,46.9
Baglung,73.1,52.3
Baitadi,71.5,33.8
Bajhang,57.6,15.2
Bajura,51.2,17.3
Banke,66,49.2
Bara,55.2,29.1
Bardiya,55.5,35.9
Bhaktapur,81.1,59.6
Bhojpur,66.1,44.4
Chitwan,79.3,63.0
Dadeldhura,72.2,33.0
Dailekh,64.7,32.3
Dang,69.3,46.9
Darchula,67.4,32.5
Dhading,53.9,34.0
Dhankuta,74.5,54.5
Dhanusa,60.1,54.5
Dolakha,64,38.8
Dolpa,49.6,19.8
Doti,61.2,26.0
Gorkha,64.4,45.7
Gulmi,70.1,48.1
Humla,41.3,11.8
Ilam,74.4,58.6
Jajarkot,49.4,29.1
Jhapa,75.6,58.8
Jumla,47,16.8
Kailali,64,41.0
Kalikot,54.2,17.8
Kanchanpur,72.8,47.2
Kapilbastu,53.3,29.5
Kaski,83.2,61.8
Kathmandu,86.5,66.6
Kavrepalanchok,75.7,52.8
Khotang,62.3,38.8
Lalitpur,81,60.4
Lamjung,69,46.3
Mahottari,45.9,22.4
Makwanpur,72.6,53.9
Manang,67.3,52.7
Morang,67.1,46.8
Mugu,45.4,9.3
Mustang,61.1,41.1
Myagdi,67.9,45.9
Nawalparasi,66,40.9
Nuwakot,62.4,40.7
Okhaldhunga,63.6,36.3
Palpa,76.2,57.8
Panchthar,65.7,45.6
Parbat,68.2,47.7
Parsa,55.5,28.2
Pyuthan,62.4,34.0
Ramechhap,53.8,26.6
Rasuwa,42.8,24.8
Rautahat,42.9,21.7
Rolpa,53.1,23.1
Rukum,51,29.0
Rupandehi,76.2,55.9
Salyan,60.2,36.2
Sankhuwasabha,63.7,45.1
Saptari,63.2,35.5
Sarlahi,46.9,25.4
Sindhuli,62.6,38.5
Sindhupalchowk,51.8,29.5
Siraha,53.6,27.1
Solukhumbu,56.7,35.5
Sunsari,70.9,50.3
Surkhet,73.9,51.7
Syangja,77.9,57.7
Tanahu,72.6,53.0
Taplejung,62.9,42.8
Terhathum,71.3,48.2
Udayapur,64.8,42.5